subject,HR_samples,HR_rate,HR_minutes,IBI_beats,BVP_samples,mean_HR_bpm,n_tags
S2,7865,1.0,131.1,3458,503943,75.1,0
S3,7714,1.0,128.6,1920,494307,69.4,0
S4,7990,1.0,133.2,3278,511962,67.2,1
S5,7541,1.0,125.7,1230,483241,76.1,1
S6,8314,1.0,138.6,2828,532708,72.9,1
S7,6485,1.0,108.1,2948,415646,70.6,1
S8,6629,1.0,110.5,2378,424864,74.1,1
S9,6219,1.0,103.7,3278,398629,79.5,1
S10,6813,1.0,113.5,5176,436645,90.2,1
S11,6451,1.0,107.5,3278,413468,82.7,1
S13,6853,1.0,114.2,2858,439208,83.2,1
S14,6977,1.0,116.3,4996,447128,84.6,1
S15,6633,1.0,110.5,3398,425139,78.7,1
S16,7098,1.0,118.3,3938,454850,79.6,1
S17,7222,1.0,120.4,2138,462825,75.1,1
